label,judul_voy,narasi_voy
1,judul berita prabowo aji butuh pimpin negara,ah pokok prabowo amin rais nyinyir ya keh keh keh
1,kalimantan barat panas,menang songong kalah amuk
1,sangka ujar benci dosen usu himma dewiyana bebas,terima kasih bang romo syafii ketua kahmi bantu bebas himma
1,dedi mulyadi hamil siswi mts,bupati purwakarta calon wakil gubernur jawa barat dedi mulyadi ban informasi hamil siswi mts dedi saksi nikah anak tokoh masyarakat sumedang hamil hamil
1,tuduh curi medali milik bambang pamungkas muhammad yusuf buka suara,mantan ketua jakmania larico ranggamone ramai medali bambang pamungkas hilang yusuf medali palsu tante pssi beda medali tim persija
1,malam jam pagi keliling kabah,malam jam pagi keliling kakak bah langit warna biru muda sa at terima an doa taubat munajat ribu malam doa terima tawaaf kakak bah tolong orang rabi minkulli zambi wa atubu illiahi kirim doa teman allah selesai masalah tolong kirim orang moga manfaat amin
1,daftar serta uji nyali dunia trans pabrik mercon,daftar serta acara uji nyali dunia televisi trans spookiers ikut uji nyali langsung kirim data email data isi nama umur alamat kerja motivasi uji nyali no telepon
1,kartu sim xl indosat smarfren telkomsel sadap badan intelijen as,kemenkominfo badan regulasi telekomunikasi indonesia terima lapor investigasi operator seluler kait duga sadap kartu sim buat gemalto hutchinson xl axiata indosat telkomsel badan intelijen as nasional security agency nsa government communication headquarter gchq
1,rombong anies sandi tilang milik izin patwal puncak bogor,rombong anies sandi tilang milik izin patwal puncak bogor
1,foto john kei sunting,bismillah tim mualaf center darussalam wakil harsha agousta brahma sadewa jenderal lisze dewi purnamawati berangkat lupa batu nusakambangan cilacap niat john kei masuk islam putus masuk islam john kei alias john refra pemuda tutrean pulau kei juluk godfather of jakarta
1,laku bom kampung melayu anggota polisi,laku bom kampung melayu anggota polisi
1,pembubabaran aji ustad khalid basalamah baris serba nu,pembubabaran aji ustad khalid basalamah baris serba nu
1,foto helikopter tank dunia buat turki pakistan,foto helikopter tank dunia buat turki pakistan
1,es krim merek aice bos orang cina bahan kimia,siang mampir distributor es krim merek aice marak penetrasi bisnis letak selatan tugu lilin makam haji spanduk tulis cina iseng iseng jaga counter pinggir jalan bos nya orang mbak jakarta solo orang cina lo tau orang cina ketemu tris mobil avanza putih bos mobil omong pakai bahas cina asli cina penasaran tunggu sih bos mobil chino
1,video anak muslim siksa buddha myanmar,video anak muslim siksa buddha myanmar
1,foto rusuh demo anti trump amerika serikat,foto rusuh demo anti trump amerika serikat
1,bentrok organisasi masyarakat gera jaga indonesia front bela islam lpi hati kota bandung juli,aksi demo tuju gedung dewan wakil rakyat majelis musyawarat rakyat laku orang simpatisan partai demokrasi indonesia komando boedi djarot kawan kawan injak injak robek bakar poster habib rizieq shihab buntut kota bandung bentrok organisasi masyarakat gera jaga indonesia gji partai demokrasi indonesia organisasi masyarakat organisasi masyarakat islam front bela islam hati lpi bela jaga pancasila negara satu republik indonesia ulama akibat orang anggota ormasa gera jaga indonesia partai demokrasi indonesia mati kena sabet pedang lasykar front bela islam hati orang alami luka sabet bahu bentrok luas bakar toko dekat markas partai demokrasi indonesia lempar bom molotov aparat polisi berani jadi perkara
1,video celaka maut air terjun uluk til belu ntt,celaka maut air terjun uluk til belu ntt
1,alir komunis gera partai komunis indonesia bangkit partai demokrasi indonesia juang,prijanto istilah tugas partai ketua partai demokrasi indonesia juang megawati soekarno putri jokowi nilai modus komunisme istilah tugas partai kerja partai tokoh partai komunis indonesia aidit
1,gubernur jakarta anies baswedan harga baik dunia tangan covid,gubernur jakarta anies baswedan harga baik dunia tangan covid
1,masyarakat new zealand ajar wudhu,kabar baru new zealand subhanallah masyarakat new zealand ajar wudhu kumpul lapang ajar dalam islam allah allahu akbar sungguh allah maha bolak hati manusia
1,polisi india indonesia,kabar kini polisi india indonesia tertib masyarakat tinggal rumah siap pantat minyak gosok
1,pasu tentara bantu lawan virus corona new york,military vehicles arrived in manhattan new york wuhan coronavirus
1,video keluyur rumah malaysia tembak api pakai drone,keluyur rumah malaysia tembak api pakai drone
1,antisipasi corona badan usaha milik negara daerah khusus ibukota tutup,antisipasi corona badan usaha milik negara daerah khusus ibukota tutup
1,jokowi halal lengser,manusia nilai kuwalitas apa negeri
1,sandiwara dagel koplax perskusi viralkan lapor maaf maaf,sandiwara dagel koplax perskusi viralkan lapor maaf maaf sakit jiwa kali ya
1,edar surat rekrutmen satu polisi pp kepala satu polisi pp damkar sintang angkat bicara,kepala satu polisi pp damkar martin nandung sumber penanggungjawab cap tanda tangan
1,ketua komisi pemelihan himbau masyarakat hormat hasil pilih curang,ketua komisi pemelihan himbau masyarakat hormat hasil pilih curang
1,universitas brawijaya umm bantah libur kuliah aksi mahasiswa,hoaks mbak giat ajar normal giat kampus normal
1,luthfi abdul had maaf kiai said aqil siroj,gus ipul wakil gubernur jawa timur turun tangan selesai fitnah tuduh ketua urus nahdlatul ulama prof kh said aqil siroj moga tukang fitnah kejang kejang
1,asosiasi guru bahasa sastra indonesia kecam anies baswedan,asosiasi guru bahasa sastra indonesia kecam anies baswedan lihai tata bodoh warga jakarta
1,khoirul anwar temu lte,khoirul anwar anggap gila tertawa cemooh ide anggap muskil masuk akal ilmuwan kumpul hokkaido jepang anggap pikir presentasi guna
1,syukur jokowi,syukur jokowi kamera bawa bekal kompak salam jokowi
1,video polisi tembak saksi rekap pleno komisi pemelihan,polisi tembak saksi terima rekap pleno komisi pemelihan
1,masuk satu tunanetra indonesia kait braile surat suara jakarta salah,info tun masuk tun satu tunanetra indonesia jakarta ecek surat suara braile komisi pemelihan salah
1,hasil scanning pobolong,komisi pemelihan server bawa bawa institut teknologi bandung moratel pilih
1,rekrutmen pt pindad,hubung rekrutmen calon karyawan pt pindad wilayah kerja liput region sulawesi
1,mark zuckerberg ceo facebook temu best friend forever,tes facebook teman teman mark zuckerberg ceo facebook temu best friend forever akun aman facebook ketik best friend forever komentar hijau akun lindung muncul warna hijau ubah sandi retas copied
1,jalan selamat riyadi kota solo genang banjir,wali kota solo fx had rudyatmo geram informasi hoaks kait banjir jalan selamat riyadi solo
1,mahal biaya sekolah layar,sekolah layar bayar mahal didik militer sakit hati sakit badan
1,video serta aksi rusak toko,sisa video demo jarah warung jakarta november malam bagi biar laku
1,saham taksi express milik sandiaga uno,milik saham taksi express usaha calon gubernur sandiaga uno
1,mesin mobil mati rel kereta api,mesin mobil mati lintas rel kereta api orang awam terkadang sbbkan lintas angker sajen kemenyan demit
1,media siar demo rancang undang undang hip,kah percaya televisi satupunmedia televisi siar demo tolak undang undang hip orang desa jangkau percaya televisi televisi booking rezim kuasa ayo rakyat buka mata pikir isu covid alih bentuk bodoh sumber daya manusia
1,bakar bendera partai demokrasi indonesia anggota simpatisan partai demokrasi indonesia,bawa bakar lapor partai komunis indonesia tukang susup licik alih tolak rancang undang undang hip partai komunis indonesia umat kristiani hasut partai komunis indonesia suka fitnah adu domba dukung bela partai komunis indonesia dosa partai komunis indonesia percaya yesus kristus agama partai komunis indonesia antek antek nya dukung tempat kerak neraka
1,minggu juni baim orang rilis hadiah orang menang,minggu juni orang menang rilis hadiah
1,panggil seleksi rekrutmen pertamina tanggal juni,surat nomor human resources departement pt pertamina persero vi perihal panggil seleksi rekrutmen karyawan surat lokasi seleksi rekrutmen gedung perwira lantai jalan medan merdeka timur jakarta pusat
1,ucap bela sungkawa presiden tim medis gugur medan covid,ucap bela sungkawa presiden tim medis gugur medan covid
1,video gereja azan corona aktif dengar azan,gereja azan dasar riset corona aktif dengar azan alquran masyaallah
1,video in america there has been looting everywhere for fear of the corona virus,in america there has been looting everywhere for fear of the corona virus
1,pelintir konteks foto apd hasil ekspor korea tulis made indonesia,buat indonesia pabrik korsel salesnya tiongkok bel indonesia mumet endas foto dus tulis merek apd tulis korea bawah tulis bahasa inggris dus warna apd nomor seri tarik tulis made in indonesia
1,pasien virus corona badau on the way rujuk rumah sakit rujuk sintang,selamat sore barusan info kawin kerja rumah sakit sintang pasien virus corona badau on the way rujuk rumah sakit rujuk sintang waspada kunjung rumah sakit anang klupa pakai masker
1,cikarang siaga virus corona orang tinggal meikarta,ikarang siaga virus corona kabar daerah lippo serang viirus corona orang tinggal dunia nyelidiki jadi perkara himbauan warga cikarang wajib pakai masker kena virus corona pusat virus corona usaha meikarta perintah tindak pagi aksi habib bekas perintah basmi virus corona bekas
1,video mata juling akibat main game ular tren hati guys,akibat main game ular tren hati guys
1,judul artikel lapor partai demokrasi indonesia juang sukmawati tahan orang kuat,artikel tampar news dot blogspot dot com tampil artikel judul lapor partai demokrasi indonesia juang sukmawati tahan orang kuat artikel tulis merdekaind
1,maskapai tebang turki lari tabrak rencana teroris tanker bahan bakar,maskapai tebang turki lari tabrak rencana teroris tanker bahan bakar ahli pilot putus ambil sekian detik selamat tumpang mukjizat teroris khilafah out negara satu republik indonesia
1,royalty ribu rupiah wa,ikhlas hati hilang derita anak mohon video terus anak royalty ribu rupiah wa rim terima kasih moga pahala amin ya rabbal alamin
1,artikel com rhoma irama salah bilang sentuh minum keras tetes nyabu,salah bilang sentuh minum keras tetes nyabu
1,menpora imam nahrawi mundur jabat,info belah
1,metro televisi berita serang senator australia kagum jokowi,klaim metro televisi nih kenal bicara kagum urat malu nya putus besok ganti candi borobudur menara eiffel air terjun niagara klaim sih jae bangun
1,susilo bambang yudhoyono suruh coblos nomor amin,susilo bambang yudhoyono sih suruh coblos nomor amin kasihan punah orang pilih jokowi jokowi indonesia maju
1,foto gajah tolong anak singa belalai,ekor singa lintas sabana anak nya panas terik anak jalan
1,white koffie bahaya kandung mudah bakar,kopi suka ku nih stok kopi ku beli takut minum
1,zambian student in cina was beaten to death,zambian student in cina has been killed by cina nationals for dating cina woman
1,surat panggil wawancara calon pegawai bank indonesia,edar media sosial surat edar mengatasnamakan bank indonesia bi isi panggil wawancara calon pegawai bi hoaks
1,lapang mustika ratu bekas jadi acara poster undang ganti presiden,poster edar media sosial rawan nasional ganti presiden kabupaten bekas rencana gelar deklarasi lapang mustika ratu cibuntu camat cibitung minggu
1,bu mega tuju partai komunis indonesia bangkit masak,subhanallah astagfirullah halazim allah hu akbar sadis nya pikir politik partai demokrasi indonesia juang negeri
1,valid jokowi jual indonesia,jokowi jual indonesia
1,selebaran kupon bazaar beras murah gambar wajah charles honor kader partai demokrasi indonesia juang juang,masuk monas tangan stempel logo kristus tonjol kupon charles honor kader partai demokrasi indonesia juang calon legislatif daerah pilih daerah khusus ibukota haha bilang tipu dasar kodok bangkong
1,latih masjid cyber army masjid baitul ihsan bank indonesia,hadir latih masjid cyber army ada sabtu desember jam masjid baitul ihsan bank indonesia jakarta pusat
1,nyata gubernur papua bela ahok,gubernur papu lukas enembe non muslim gubernur daerah khusus ibukota presiden indonesia biar papua melanesia merdeka
1,absen acara anak nasional jokowi pilih hadir silatnas rawan,ketidakhadiran presiden joko widodo jokowi puncak ingat anak nasional han mataram ntb sabtu timbul kecewa anak anak provinsi
1,video berita baru sri mulyani sanggup serah tugas rizal ramli,berita baru sri mulyani sanggup serah tugas rizal ramli
1,pesan beranta ingat orang pintu pintu bagi masker,orang pintu pintu bagi masker bagi masker perintah kena masker foto masker cocok lapor masker alamat masker bius rampok tolong ambil masker orang asing teman teman kritis orang orang putus asa tingkat jahat tingkat periode covid harap hati hati informasi guna manfaat mohon maaf salah katawaspada waspada kenal
1,rsud jakarta depok tutup karyawan positif covid,assalamualaikum wr wb teman teman spesialis just info rumah sakit paksa tutup karyawan positif
1,warga negara asing angkat direksi badan usaha milik negara,info badan usaha milik negara warga negara australia nama antonius reiner haryanto angkat direktur transformasi bisnis holding rumah sakit badan usaha milik negara pertamedika kali warga negara asing direksi badan usaha milik negara indonesia mohon bantu sebar info tolak warga negara asing direksi badan usaha milik negara
1,sakit diagnosa nya covid,busuk rumah sakit ayah gue sakit diagnosa nya covid inti tinggal rumah sakit langsung vonis covid angka mati covid tingkat covid lai data rumah sakit
1,miscaptioned wolfpack photo,lesson in wolfpack leadership the wolves in front are old sick they walk in front to set the pace of the running grup lest they get left behind the next wolves are the strongest best they are tasked to protect the front side if there is an attack the pack in the are always protected from any attack the behind them are also among the strongest best they are tasked to protect the back side if there is an attack the last one is the leader he ensures that no one is left behind he keeps the pack unified and on the path he is always ready to run in any direction to protect serves as the bodyguard to the entire grup
1,jamur barang kadaluwarsa warga imbau mal,teman teman sayang meng ya buka tolong mal ya mal tutup rusak jamur keri
1,vaksin kali khalifah ottoman,vaksin kali khalifah ottoman lady mary montagu istri duta british istanbul tulis surat teman istanbul vaksinasi obat orang cacar istanbul lady mary cerita perempuan anak anak kumpul lengan gores alami demam ringan selanjunya imun surat dokumentasi tua produksi pakai vaksin surat surat tanggal april edward jenner temu vaksin cacar smallpox teliti edward temu teori tehniknya produksi vaksin louis pasteur buat vaksin rabies antrax studi produksi vaksin habis uang tulis surat sultan abdul hamid ih sultan tuju syarat laboratorium pindah istanbul pasteur tolak syarat sultan dokter ottoman jadi asisten teliti terima pasteur sultan kirim bantu lira ottoman pasteur harga medali order of medjidie class vaksin rabies bawa istanbul januari vaksin rabies kali produksi istanbul
1,profesor tasuku honjo virus korona alami cina buat,profesor fisiologi dokter jepang profesor tasuku honjo cipta sensasi media virus korona alami alami pengaruh dunia sesuai sifat suhu beda negara alami dampak buruk negara negara milik suhu cina
1,kokas ya mal lockdown salah staf suspect covid,omd indonesia office tower floor unit jalan casablanca raya kav jakarta selatan kokas ya mal lockdown salah staf suspect covid
1,minum alkohol kurang risiko infeksi novel coronavirus covid,teliti luas temu konsumsi minum alkohol bantu kurang risiko infeksi coronavirus covid vodka rekomendasi minum bersih bersih
1,foto anak durhaka ubah buaya gunung picung camat tenjolaya kabupaten bogor,warga bogor heboh anak kutuk ibu anak kutuk batu sang gunung picung kabupaten bogor benar berita berita anak ubah batu kembang cepat media sosial facebook
1,keren ya mobil sita maha lembaga suci,keren ya mobil sita maha lembaga suci
1,foto kerja sutet peristiwa mati listrik jakarta jabar banten,sabar ya usaha benar
1,oktober prabowo sandi lantik,jokowi menang pilih presiden otomatis lantik pasal undang undang dasar harus menang pilih presiden menang wilayah provinsi suara wilayah provinsi persen
1,tampak jin mata sipit hakim mk,tampak jin mata sipit hakim mk edit asli lihat video cina cina taipan intervensi mk
1,ahok ganti maruf amin,ahok ganti ruf amin
1,tusuk gigi kunyit deteksi boraks,simbol kb daerah bantul projotamansari paksa tutup terpal setdaah kronis ame patung salah blongsongi pakai terpal kayak buah nangka parah coyy
1,culi anak kus hilir kabupaten tanah bumbu kalimantan selatan,ds batuah ds
1,konsumsi garam impor cina,komsumsi garam impor cina
1,bahaya ucap selamat gif whatsapp,info
1,lowong kerja garuda indonesia,pt garuda indonesia persero tbk undang tarik muda enerjik gabung pramugari udara dapat senang keliling dunia kenal ramah indonesia minat sila kirim surat cv lamar via email kisar gaji rupiah rupiah gantung posisi
1,rakyat vietnam usir ribu warga cina,negeri mau kalah rakyat vietnam filipina malaysia hongkong cina usir jongos budak manusia manusia jajah
1,ridwan kamil tinggal pilih religius pilih gubernur jabar dukung lgbt,dukung lgbt ridwan kamil tinggal pilih relegius pilih kepala daerah jawa barat
1,klarifikasi sebar berita detikcom hoaks,media online media daring
